county_fips,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_days_on_market_mm_day,median_days_on_market_yy,median_days_on_market_yy_day,median_days_on_market_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,year
36089,565,990,,,3,2,4,140,,,,,62,,,0,112017,,,0,0,2016
42121,889,919,,,12,5,19,125,,,,,46,,,1,84117,,,0,0,2016
40051,431,365,,,61,65,57,69,,,,,-10,,,1,202175,,,1,0,2016
36009,682,973,,,6,5,6,124,,,,,45,,,0,118175,,,0,0,2016
53067,239,248,,,71,87,55,55,,,,,-24,,,1,307178,,,1,0,2016
27121,373,175,,,78,93,63,49,,,,,-30,,,1,218962,,,1,0,2016
36077,835,971,,,6,7,5,124,,,,,45,,,0,173950,,,1,0,2016
22097,672,868,,,17,22,12,99,,,,,21,,,1,142433,,,1,0,2016
45075,646,991,,,3,2,4,144,,,,,65,,,0,154133,,,1,0,2016
12095,156,280,,,69,58,80,73,,,,,-6,,,2,279239,,,1,0,2016
55139,362,529,,,47,63,32,71,,,,,-8,,,1,153133,,,1,0,2016
17099,537,797,,,24,18,30,103,,,,,24,,,1,108058,,,0,0,2016
21059,587,394,,,60,82,37,59,,,,,-20,,,1,169642,,,1,0,2016
26155,767,197,,,76,60,91,73,,,,,-6,,,2,114696,,,0,0,2016
28071,916,653,,,37,50,24,78,,,,,-1,,,1,335205,,,1,0,2016
37077,901,529,,,48,28,68,93,,,,,14,,,1,192510,,,1,0,2016
6111,87,51,,,91,88,94,55,,,,,-24,,,2,721447,,,3,0,2016
1045,949,923,,,11,19,3,101,,,,,23,,,0,117407,,,0,0,2016
21145,747,640,,,38,37,39,87,,,,,8,,,1,162217,,,1,0,2016
12107,738,943,,,10,4,15,128,,,,,49,,,1,158175,,,1,0,2016
12009,103,133,,,81,73,90,65,,,,,-14,,,2,261433,,,1,0,2016
12005,343,817,,,22,15,29,106,,,,,28,,,1,268773,,,1,0,2016
48277,942,565,,,44,50,39,79,,,,,0,,,1,144767,,,1,0,2016
54107,624,416,,,58,47,68,80,,,,,1,,,1,128208,,,1,0,2016
4007,887,796,,,24,13,36,109,,,,,31,,,1,296275,,,1,0,2016
12073,306,630,,,39,33,45,89,,,,,11,,,1,220633,,,1,0,2016
17161,389,456,,,54,53,55,76,,,,,-3,,,1,137762,,,1,0,2016
34578,232,417,,,57,41,73,85,,,,,6,,,1,238068,,,1,0,2016
4017,97,403,,,58,79,37,60,,,,,-19,,,1,270400,,,1,0,2016
28109,925,852,,,19,10,27,113,,,,,34,,,1,185858,,,1,0,2016
5069,770,932,,,10,17,3,106,,,,,27,,,0,96975,,,0,0,2016
37125,571,926,,,11,11,12,112,,,,,33,,,1,288045,,,1,0,2016
42048,337,520,,,48,35,61,88,,,,,10,,,1,161778,,,1,0,2016
25003,443,920,,,12,8,16,119,,,,,40,,,1,323033,,,1,0,2016
55043,950,804,,,23,33,13,90,,,,,11,,,1,135167,,,1,0,2016
36019,678,845,,,19,8,31,120,,,,,41,,,1,159442,,,1,0,2016
16005,703,511,,,49,57,42,75,,,,,-4,,,1,144842,,,1,0,2016
53009,670,355,,,63,45,81,82,,,,,3,,,1,320854,,,1,0,2016
23018,257,381,,,60,31,90,92,,,,,13,,,2,329850,,,1,0,2016
43036,345,267,,,70,85,55,53,,,,,-26,,,1,421633,,,2,0,2016
12098,298,429,,,56,54,59,76,,,,,-3,,,1,332297,,,1,0,2016
39145,727,902,,,14,19,9,103,,,,,24,,,1,118375,,,0,0,2016
42107,423,730,,,30,26,34,95,,,,,16,,,1,79908,,,0,0,2016
4025,265,621,,,39,21,58,100,,,,,21,,,1,401517,,,2,0,2016
40838,446,325,,,65,59,71,73,,,,,-6,,,1,379343,,,1,0,2016
49049,167,497,,,50,93,8,49,,,,,-30,,,0,341158,,,1,0,2016
8101,385,116,,,83,85,81,57,,,,,-22,,,1,204400,,,1,0,2016
53075,975,701,,,33,30,36,92,,,,,14,,,1,200192,,,1,0,2016
12015,315,641,,,38,40,36,86,,,,,7,,,1,264517,,,1,0,2016
17001,757,201,,,75,59,92,73,,,,,-6,,,2,118842,,,0,0,2016
55101,327,214,,,74,74,74,64,,,,,-15,,,1,183142,,,1,0,2016
37118,417,345,,,64,64,63,70,,,,,-9,,,1,292733,,,1,0,2016
46103,518,347,,,63,76,51,63,,,,,-16,,,1,232817,,,1,0,2016
42011,170,642,,,38,26,50,94,,,,,15,,,1,179908,,,1,0,2016
6103,849,426,,,57,41,72,83,,,,,4,,,1,265283,,,1,0,2016
6089,349,374,,,61,55,67,75,,,,,-4,,,1,295817,,,1,0,2016
27049,962,429,,,57,55,58,75,,,,,-4,,,1,234275,,,1,0,2016
32031,149,275,,,69,67,71,68,,,,,-11,,,1,420808,,,2,0,2016
18177,771,767,,,27,32,21,90,,,,,11,,,1,90683,,,0,0,2016
51243,322,122,,,83,83,83,58,,,,,-21,,,1,282840,,,1,0,2016
21151,657,476,,,53,75,31,64,,,,,-15,,,1,174492,,,1,0,2016
6068,18,359,,,62,76,49,63,,,,,-16,,,1,354424,,,1,0,2016
51333,667,671,,,35,33,36,98,,,,,19,,,1,221614,,,1,0,2016
37083,905,982,,,5,3,6,134,,,,,55,,,0,181792,,,1,0,2016
17141,929,596,,,42,27,56,94,,,,,15,,,1,136458,,,1,0,2016
27109,408,89,,,86,79,92,61,,,,,-18,,,2,300700,,,1,0,2016
36073,515,230,,,74,73,74,64,,,,,-15,,,1,169602,,,1,0,2016
17201,232,272,,,69,64,75,70,,,,,-9,,,1,113617,,,0,0,2016
37096,758,947,,,7,11,4,135,,,,,56,,,0,109304,,,0,0,2016
13115,636,833,,,21,28,14,94,,,,,15,,,1,147998,,,1,0,2016
41019,527,744,,,29,34,24,89,,,,,10,,,1,267183,,,1,0,2016
35005,852,774,,,26,28,24,93,,,,,14,,,1,152867,,,1,0,2016
5115,837,821,,,22,30,13,91,,,,,12,,,1,139683,,,1,0,2016
50021,801,960,,,7,1,14,147,,,,,68,,,1,198208,,,1,0,2016
6065,223,68,,,89,83,95,55,,,,,-24,,,2,465784,,,2,0,2016
